action,ordo_date,ordo_name,ordo_season,ordo_week,ordo_rank,lectionary_admin_order,lectionary_current_name,lectionary_proposed_name,similarity,confidence
RENAME,2025-01-03,Friday before Epiphany,Christmas,,Feast,134,Friday of the fourth week,Friday before Epiphany,0.55,MEDIUM
RENAME,2025-01-04,Saturday before Epiphany,Christmas,,Feast,135,Saturday of the fourth week,Saturday before Epiphany,0.59,MEDIUM
RENAME,2025-01-05,THE EPIPHANY OF THE LORD,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE EPIPHANY OF THE LORD,0.67,MEDIUM
RENAME,2025-01-06,Monday after Epiphany,Christmas,,Feast,154,Monday of the eighth week,Monday after Epiphany,0.61,MEDIUM
RENAME,2025-01-07,Tuesday after Epiphany,Christmas,,Feast,155,Tuesday of the eighth week,Tuesday after Epiphany,0.62,MEDIUM
RENAME,2025-01-08,Wednesday after Epiphany,Christmas,,Feast,156,Wednesday of the eighth week,Wednesday after Epiphany,0.65,MEDIUM
RENAME,2025-01-09,Thursday after Epiphany,Christmas,,Feast,157,Thursday of the eighth week,Thursday after Epiphany,0.64,MEDIUM
RENAME,2025-01-10,Friday after Epiphany,Christmas,,Feast,158,Friday of the eighth week,Friday after Epiphany,0.61,MEDIUM
RENAME,2025-01-11,Saturday after Epiphany,Christmas,,Feast,159,Saturday of the eighth week,Saturday after Epiphany,0.64,MEDIUM
RENAME,2025-02-02,THE PRESENTATION OF THE LORD,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE PRESENTATION OF THE LORD,0.72,HIGH
RENAME,2025-02-22,The Chair of St Peter,,,Feast,934,"THE ASCENSION OF THE LORD, Year C",The Chair of St Peter,0.52,MEDIUM
RENAME,2025-03-05,Ash Wednesday,,,Feast,74,SIXTH SUNDAY,Ash Wednesday,0.56,MEDIUM
RENAME,2025-03-06,Thursday after Ash Wednesday,,,Feast,145,Thursday of the sixth week,Thursday after Ash Wednesday,0.70,HIGH
RENAME,2025-03-07,Friday after Ash Wednesday,,,Feast,146,Friday of the sixth week,Friday after Ash Wednesday,0.68,MEDIUM
RENAME,2025-03-08,Saturday after Ash Wednesday,,,Feast,147,Saturday of the sixth week,Saturday after Ash Wednesday,0.70,HIGH
RENAME,2025-03-25,THE ANNUNCIATION OF THE LORD,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE ANNUNCIATION OF THE LORD,0.69,MEDIUM
RENAME,2025-04-14,Monday of Holy Week,Holy Week,,Feast,118,Monday of the second week,Monday of Holy Week,0.77,HIGH
RENAME,2025-04-15,Tuesday of Holy Week,Holy Week,,Feast,119,Tuesday of the second week,Tuesday of Holy Week,0.78,HIGH
RENAME,2025-04-16,Wednesday of Holy Week,Holy Week,,Feast,120,Wednesday of the second week,Wednesday of Holy Week,0.80,HIGH
RENAME,2025-04-17,HOLY THURSDAY,,,Solemnity,72,FOURTH SUNDAY,HOLY THURSDAY,0.54,MEDIUM
RENAME,2025-04-20,EASTER SUNDAY,,,Solemnity,71,THIRD SUNDAY,EASTER SUNDAY,0.72,HIGH
RENAME,2025-04-21,Easter Monday,Easter,,Feast,944,"PENTECOST SUNDAY, Year C",Easter Monday,0.63,MEDIUM
RENAME,2025-04-22,Easter Tuesday,Easter,,Feast,944,"PENTECOST SUNDAY, Year C",Easter Tuesday,0.62,MEDIUM
RENAME,2025-04-23,Easter Wednesday,Easter,,Feast,944,"PENTECOST SUNDAY, Year C",Easter Wednesday,0.60,MEDIUM
RENAME,2025-04-24,Easter Thursday,Easter,,Feast,934,"THE ASCENSION OF THE LORD, Year C",Easter Thursday,0.62,MEDIUM
RENAME,2025-04-25,Easter Friday,Easter,,Feast,944,"PENTECOST SUNDAY, Year C",Easter Friday,0.58,MEDIUM
RENAME,2025-04-26,Easter Saturday,Easter,,Feast,944,"PENTECOST SUNDAY, Year C",Easter Saturday,0.66,MEDIUM
RENAME,2025-04-27,2 EASTER,Easter,2,Sunday,896,"THIRD SUNDAY OF EASTER, Year C",2 EASTER,0.57,MEDIUM
RENAME,2025-05-04,3 EASTER,Easter,3,Sunday,896,"THIRD SUNDAY OF EASTER, Year C",3 EASTER,0.57,MEDIUM
RENAME,2025-05-11,4 EASTER,Easter,4,Sunday,896,"THIRD SUNDAY OF EASTER, Year C",4 EASTER,0.57,MEDIUM
RENAME,2025-05-18,5 EASTER,Easter,5,Sunday,896,"THIRD SUNDAY OF EASTER, Year C",5 EASTER,0.57,MEDIUM
RENAME,2025-05-25,6 EASTER,Easter,6,Sunday,896,"THIRD SUNDAY OF EASTER, Year C",6 EASTER,0.57,MEDIUM
RENAME,2025-06-08,PENTECOST,,,Solemnity,944,"PENTECOST SUNDAY, Year C",PENTECOST,0.55,MEDIUM
RENAME,2025-06-09,"Mary, Mother of the Church",,,Feria,133,Thursday of the fourth week,"Mary, Mother of the Church",0.53,MEDIUM
RENAME,2025-06-22,THE MOST HOLY BODY AND BLOOD OF CHRIST,,,Solemnity,110,"THE BODY AND BLOOD OF CHRIST, Year C",THE MOST HOLY BODY AND BLOOD OF CHRIST,0.76,HIGH
RENAME,2025-08-06,The Transfiguration of the Lord,,,Feria,127,Thursday of the third week,The Transfiguration of the Lord,0.53,MEDIUM
RENAME,2025-08-08,SAINT MARY OF THE CROSS,,,Solemnity,117,Saturday of the first week,SAINT MARY OF THE CROSS,0.61,MEDIUM
RENAME,2025-08-15,THE ASSUMPTION OF THE BLESSED VIRGIN MARY,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE ASSUMPTION OF THE BLESSED VIRGIN MARY,0.59,MEDIUM
RENAME,2025-09-14,THE EXALTATION OF THE HOLY CROSS,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE EXALTATION OF THE HOLY CROSS,0.62,MEDIUM
RENAME,2025-09-15,Our Lady of Sorrows,,,Feast,905,"FOURTH SUNDAY OF EASTER, Year C",Our Lady of Sorrows,0.52,MEDIUM
RENAME,2025-10-01,Saint Thérèse of the Child Jesus,,,Feria,127,Thursday of the third week,Saint Thérèse of the Child Jesus,0.59,MEDIUM
RENAME,2025-10-07,Our Lady of the Rosary,,,Feria,115,Thursday of the first week,Our Lady of the Rosary,0.58,MEDIUM
RENAME,2025-11-02,THE COMMEMORATION OF ALL THE FAITHFUL DEPARTED,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE COMMEMORATION OF ALL THE FAITHFUL DEPARTED,0.56,MEDIUM
RENAME,2025-11-09,THE DEDICATION OF THE LATERAN BASILICA,,,Solemnity,934,"THE ASCENSION OF THE LORD, Year C",THE DEDICATION OF THE LATERAN BASILICA,0.59,MEDIUM
RENAME,2025-11-10,Saint Leo the Great,,,Memorial,117,Saturday of the first week,Saint Leo the Great,0.53,MEDIUM
