2025,YEAR C cont…
1 January,"SOLEMNITY OF MARY, THE HOLY MOTHER OF GOD"
2 January,Saint Basil and Gregory
3 January,Friday before Epiphany
,Most Holy Name of Jesus
4 January,Saturday before Epiphany
,
5 January,THE EPIPHANY OF THE LORD
6 January,Monday after Epiphany
7 January,Tuesday after Epiphany
,Saint Raymond of Penyafort
8 January,Wednesday after Epiphany
9 January,Thursday after Epiphany
10 January,Friday after Epiphany
11 January,Saturday after Epiphany
,
12 January,THE BAPTISM OF THE LORD
13 January,Monday of the first week in Ordinary Time
,Saint Hilary
14 January,Tuesday of the first week in Ordinary Time
15 January,Wednesday of the first week in Ordinary Time
16 January,Thursday of the first week in Ordinary Time
17 January,Saint Anthony
18 January,Saturday of the first week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
19 January,2 ORDINARY
20 January,Monday of the second week in Ordinary Time
,Saint Fabian
,Saint Sebastian
21 January,Saint Agnes
22 January,Wednesday of the second week in Ordinary Time
,Saint Vincent
23 January,Thursday of the second week in Ordinary Time
24 January,Saint Francis de Sales
25 January,The Conversion of Saint Paul
,
26 January,3 ORDINARY
,Australia Day
27 January,Monday of the third week in Ordinary Time
,Saints Timothy and Titus
,Saint Angela Merici
28 January,Thomas Aquinas
29 January,Wednesday of the third week in Ordinary Time
30 January,Thursday of the third week in Ordinary Time
31 January,Saint John Bosco
1 February,Saturday of the third week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
2 February,THE PRESENTATION OF THE LORD
3 February,Monday of the fourth week in Ordinary Time
,Saint Ansgar
,Saint Blaise
4 February,Tuesday of the fourth week in Ordinary Time
5 February,Saint Agatha
6 February,Saints Paul Miki and Companions
,Waitangi Day (NZ)
7 February,Friday of the fourth week in Ordinary Time
8 February,Saturday of the fourth week in Ordinary Time
,Saint Jerome Emiliani
,Saint Josephine Bakhita
,Saturday Mass of the Virgin Mary
,
9 February,5 ORDINARY
10 February,Saint Scholastica
11 February,Tuesday of the fifth week in Ordinary Time
,Our Lady of Lourdes
12 February,Wednesday of the fifth week in Ordinary Time
13 February,Thursday of the fifth week in Ordinary Time
14 February,Saints Cyril and Methodius
15 February,Saturday of the fifth week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
16 February,6 ORDINARY
17 February,Monday of the sixth week in Ordinary Time
,The Seven Holy Founders of the Servite Order
18 February,Tuesday of the sixth week in Ordinary Time
19 February,Wednesday of the sixth week in Ordinary Time
20 February,Thursday of the sixth week in Ordinary Time
21 February,Friday of the sixth week in Ordinary Time
,Saint Peter Damian
22 February,The Chair of St Peter
,
23 February,7 ORDINARY
24 February,Monday of the seventh week in Ordinary Time
25 February,Tuesday of the seventh week in Ordinary Time
26 February,Wednesday of the seventh week in Ordinary Time
27 February,Thursday of the seventh week in Ordinary Time
,Saint Gregory of Narek
28 February,Friday of the seventh week in Ordinary Time
1 March,Saturday of the seventh week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
2 March,8 ORDINARY
3 March,Monday of the eighth week in Ordinary Time
4 March,Tuesday of the eighth week in Ordinary Time
,Saint Casimir
5 March,Ash Wednesday
6 March,Thursday after Ash Wednesday
7 March,Friday after Ash Wednesday
,Saints Perpetua and Felicity (commemoration)
,Ember Day
8 March,Saturday after Ash Wednesday
,Saint John of God (commemoration)
,
9 March,1 LENT
,Rite of Election
10 March,Monday of the first week of Lent
11 March,Tuesday of the first week of Lent
12 March,Wednesday of the first week of Lent
13 March,Thursday of the first week of Lent
14 March,Friday of the first week of Lent
15 March,Saturday of the first week of Lent
,
16 March,2 LENT
17 March,SAINT PATRICK (NZ: Feast)
18 March,Tuesday of the second week of Lent
,Saint Cyril of Jerusalem (commemoration)
19 March,SAINT JOSEPH
20 March,Thursday of the second week of Lent
21 March,Friday of the second week of Lent
22 March,Saturday of the second week of Lent
,
23 March,3 LENT
24 March,Monday of the third week of Lent
25 March,THE ANNUNCIATION OF THE LORD
26 March,Wednesday of the third week of Lent
27 March,Thursday of the third week of Lent
28 March,Friday of the third week of Lent
29 March,Saturday of the third week of Lent
,
30 March,4 LENT
31 March,Monday of the fourth week of Lent
1 April,Tuesday of the fourth week of Lent
2 April,Wednesday of the fourth week of Lent
,Saint Francis of Paola (commemoration)
3 April,Thursday of the fourth week of Lent
4 April,Friday of the fourth week of Lent
,Saint Isidore (commemoration)
5 April,Saturday of the fourth week of Lent
,Saint Vincent Ferrer (commemoration)
,
6 April,5 LENT
7 April,Monday of the fifth week of Lent
,Saint John Baptist de la Salle (commemoration)
8 April,Tuesday of the fifth week of Lent
9 April,Wednesday of the fifth week of Lent
10 April,Thursday of the fifth week of Lent
11 April,Friday of the fifth week of Lent
,Saint Stanislaus (commemoration)
12 April,Saturday of the fifth week of Lent
,
13 April,PASSION SUNDAY (PALM SUNDAY)
14 April,Monday of Holy Week
15 April,Tuesday of Holy Week
16 April,Wednesday of Holy Week
17 April,HOLY THURSDAY
18 April,GOOD FRIDAY
19 April,THE EASTER VIGIL
,
20 April,EASTER SUNDAY
21 April,Easter Monday
22 April,Easter Tuesday
23 April,Easter Wednesday
24 April,Easter Thursday
25 April,Easter Friday
26 April,Easter Saturday
,
27 April,2 EASTER
28 April,Saint Peter Chanel
29 April,Saint Catherine of Siena
30 April,Wednesday of the second week of Easter
,Saint Pius V
1 May,Thursday of the second week of Easter
,Saint Joseph the Worker
2 May,Saint Athanasius
3 May,Saints Philip and James
,
4 May,3 EASTER
5 May,Monday of the third week of Easter
6 May,Tuesday of the third week of Easter
7 May,Wednesday of the third week of Easter
8 May,Thursday of the third week of Easter
9 May,Friday of the third week of Easter
10 May,Saturday of the third week of Easter
,Saint John de Avila
,
11 May,4 EASTER
12 May,Monday of the fourth week of Easter
,Saint Pancras
,Saints Nereus and Achilleus
13 May,Tuesday of the fourth week of Easter
,Our Lady of Fatima
14 May,Saint Matthias
15 May,Thursday of the fourth week of Easter
16 May,Friday of the fourth week of Easter
17 May,Saturday of the fourth week of Easter
,
18 May,5 EASTER
19 May,Monday of the fifth week of Easter
20 May,Tuesday of the fifth week of Easter
,Saint Bernadine of Siena
21 May,Wednesday of the fifth week of Easter
,Saints Christopher Magallanes and companions
22 May,Thursday of the fifth week of Easter
,Saint Rita of Cascia
23 May,Friday of the fifth week of Easter
24 May,"OUR LADY, HELP OF CHRISTIANS  (NZ: memorial)"
,
25 May,6 EASTER
26 May,Saint Philip Neri
27 May,Tuesday of the sixth week of Easter
,Saint Augustine of Canterbury
28 May,Wednesday of the sixth week of Easter
29 May,Thursday of the sixth week of Easter
,Saint Paul VI
30 May,Friday of the sixth week of Easter
31 May,The Visitation of the Blessed Virgin Mary
,
1 June,THE ASCENSION OF THE LORD
2 June,Monday of the seventh week of Easter
,Saints Marcellinus and Peter
3 June,Saint Charles Lwanga and companions
4 June,Wednesday of the seventh week of Easter
5 June,Saint Boniface
6 June,Friday of the seventh week of Easter
,Saint Norbert
,Saint Marcellin Champagnat
7 June,Saturday of the seventh week of Easter
,
8 June,PENTECOST
9 June,"Mary, Mother of the Church"
10 June,Tuesday of the tenth week in Ordinary Time
11 June,Saint Barnabas
12 June,Thursday of the tenth week in Ordinary Time
13 June,Saint Anthony of Padua
14 June,Saturday of the tenth week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
15 June,THE MOST HOLY TRINITY
16 June,Monday of the eleventh week in Ordinary Time
17 June,Tuesday of the eleventh week in Ordinary Time
18 June,Wednesday of the eleventh week in Ordinary Time
19 June,Thursday of the eleventh week in Ordinary Time
,Saint Romuald
20 June,Friday of the eleventh week in Ordinary Time
21 June,Saint Aloysius Gonzaga
,
22 June,THE MOST HOLY BODY AND BLOOD OF CHRIST
23 June,Monday of the twelfth week in Ordinary Time
,Saint Paulinus of Nola
24 June,THE NATIVITY OF SAINT JOHN THE BAPTIST
25 June,Wednesday of the twelfth week in Ordinary Time
26 June,Thursday of the twelfth week in Ordinary Time
27 June,THE MOST SACRED HEART OF JESUS
28 June,Saturday of the twelfth week in Ordinary Time
,Saint Irenaeus
,The Most Immaculate Heart of Mary
,
29 June,SAINTS PETER AND PAUL
30 June,Monday of the thirteenth week in Ordinary Time
,The First Martyrs of the Holy Roman Church
1 July,Tuesday of the thirteenth week in Ordinary Time
2 July,Wednesday of the thirteenth week in Ordinary Time
3 July,Saint Thomas
4 July,Friday of the thirteenth week in Ordinary Time
,Saint Elizabeth of Portugal
5 July,Saturday of the thirteenth week in Ordinary Time
