2026,YEAR A cont…,,,
,,,,
1 January,"SOLEMNITY OF MARY, THE HOLY MOTHER OF GOD",,,
2 January,Saint Basil and Gregory,,,
3 January,Saturday before Epiphany,,,
,Most Holy Name of Jesus,,,
,,,,
4 January,THE EPIPHANY OF THE LORD,,,
5 January,Monday after Epiphany,,,
6 January,Tuesday after Epiphany,,,
7 January,Wednesday after Epiphany,,,
,Saint Raymond of Penyafort,,,
8 January,Thursday after Epiphany,,,
9 January,Friday after Epiphany,,,
10 January,Saturday after Epiphany,,,
,,,,
11 January,THE BAPTISM OF THE LORD,,,
12 January,Monday of the first week in Ordinary Time,,,
13 January,Tuesday of the first week in Ordinary Time,,,
,Saint Hilary,,,
14 January,Wednesday of the first week in Ordinary Time,,,
15 January,Thursday of the first week in Ordinary Time,,,
16 January,Friday of the first week in Ordinary Time,,,
17 January,Saint Anthony,,,
,,,,
18 January,2 ORDINARY,,,
19 January,Monday of the second week in Ordinary Time,,,
20 January,Tuesday of the second week in Ordinary Time,,,
,Saint Fabian,,,
,Saint Sebastian,,,
21 January,Saint Agnes,,,
22 January,Thursday of the second week in Ordinary Time,,,
,Saint Vincent,,,
23 January,Friday of the second week in Ordinary Time,,,
24 January,Saint Francis de Sales,,,
,,,,
25 January,3 ORDINARY,,,
26 January,Australia Day,,,
27 January,Tuesday of the third week in Ordinary Time,,,
,Saints Timothy and Titus,,,
,Saint Angela Merici,,,
28 January,Saint Thomas Aquinas,,,
29 January,Thursday of the third week in Ordinary Time,,,
30 January,Friday of the third week in Ordinary Time,,,
31 January,Saint John Bosco,,,
,,,,
1 February,4 ORDINARY,,,
2 February,The Presentation of the Lord,,,
3 February,Tuesday of the fourth week in Ordinary Time,,,
,Saint Ansgar,,,
,Saint Blaise,,,
4 February,Wednesday of the fourth week in Ordinary Time,,,
5 February,Saint Agatha,,,
6 February,Saints Paul Miki and Companions,,,
,Waitangi Day (NZ),,,
7 February,Saturday of the fourth week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
8 February,5 ORDINARY,,,
9 February,Monday of the fifth week in Ordinary Time,,,
10 February,Saint Scholastica,,,
11 February,Wednesday of the fifth week in Ordinary Time,,,
,Our Lady of Lourdes,,,
12 February,Thursday of the fifth week in Ordinary Time,,,
13 February,Friday of the fifth week in Ordinary Time,,,
14 February,Saints Cyril and Methodius,,,
,,,,
15 February,6 ORDINARY,,,
16 February,Monday of the sixth week in Ordinary Time,,,
17 February,Tuesday of the sixth week in Ordinary Time,,,
,The Seven Holy Founders of the Servite Order,,,
18 February,Ash Wednesday,,,
19 February,Thursday after Ash Wednesday,,,
20 February,Friday after Ash Wednesday,,,
21 February,Saturday after Ash Wednesday,,,
,Saint Peter Damian (commemoration),,,
,,,,
22 February,1 LENT,,,
,Rite of Election,,,
23 February,Monday of the first week of Lent,,,
,Saint Polycarp (commemoration),,,
24 February,Tuesday of the first week of Lent,,,
25 February,Wednesday of the first week of Lent,,,
26 February,Thursday of the first week of Lent,,,
27 February,Friday of the first week of Lent,,,
,Saint Gregory of Narek (commemoration),,,
28 February,Saturday of the first week of Lent,,,
,,,,
1 March,2 LENT,,,
2 March,Monday of the second week of Lent,,,
3 March,Tuesday of the second week of Lent,,,
4 March,Wednesday of the second week of Lent,,,
,Saint Casimir (commemoration),,,
5 March,Thursday of the second week of Lent,,,
6 March,Friday of the second week of Lent,,,
,Ember Day,,,
7 March,Saturday of the second week of Lent,,,
,Saints Perpetua and Felicity (commemoration),,,
,,,,
8 March,3 LENT,,,
9 March,Monday of the third week of Lent,,,
,Saint Frances of Rome (commemoration),,,
10 March,Tuesday of the third week of Lent,,,
11 March,Wednesday of the third week of Lent,,,
12 March,Thursday of the third week of Lent,,,
13 March,Friday of the third week of Lent,,,
