Admin Order,Year,Week,Day,Time,Liturgical Day,First Reading,Psalm,Second Reading,Gospel Reading,Reflection,Author,Organisation
1,A,1,Sunday,Ordinary,BAPTISM OF THE LORD,"Isaiah 42:1-4, 6-7","Psalm 28:1-4, 9-10",Acts 10:34-38,Matthew 3:13-17,,,
2,A,2,Sunday,Ordinary,SECOND SUNDAY,"Isaiah 49:3, 5-6","Psalm 39:2, 4, 7-10",1 Corinthians 1:1-3,John 1:29-34,,,
3,A,3,Sunday,Ordinary,THIRD SUNDAY,Isaiah 8:23 – 9:3,"Psalm 26:1, 4, 13-14","1 Corinthians 1:10-13, 17",Matthew 4:12-23,,,
4,A,4,Sunday,Ordinary,FOURTH SUNDAY,Zephaniah 2:3; 3:12-13,Psalm 145:7-10,1 Corinthians 1:26-31,Matthew 5:1-12,,,
5,A,5,Sunday,Ordinary,FIFTH SUNDAY,Isaiah 58:7-10,Psalm 111:4-9,1 Corinthians 2:1-5,Matthew 5:13-16,,,
6,A,6,Sunday,Ordinary,SIXTH SUNDAY,Sirach 15:15-20,"Psalm 118:1-2, 4-5, 17-18, 33-34",1 Corinthians 2:6-10,Matthew 5:17-37,,,
7,A,7,Sunday,Ordinary,SEVENTH SUNDAY,"Leviticus 19:1-2, 17-18","Psalm 102:1-4, 8, 10, 12-13",1 Corinthians 3:16-23,Matthew 5:38-48,,,
8,A,8,Sunday,Ordinary,EIGHTH SUNDAY,Isaiah 49:14-15,"Psalm 61:2-3, 6-9",1 Corinthians 4:1-5,Matthew 6:24-34,,,
9,A,9,Sunday,Ordinary,NINTH SUNDAY,"Deuteronomy 11:18, 26-28, 32","Psalm 30:2-4, 17, 25","Romans 3:21-25, 28",Matthew 7:21-27,,,
10,A,10,Sunday,Ordinary,TENTH SUNDAY,Hosea 6:3-6,"Psalm 49:1, 8, 12-15",Romans 4:18-25,Matthew 9:9-13,,,
11,A,11,Sunday,Ordinary,ELEVENTH SUNDAY,Exodus 19:2-6,"Psalm 99:2-3, 5",Romans 5:6-11,Matthew 9:36 – 10:8,,,
12,A,12,Sunday,Ordinary,TWELFTH SUNDAY,Jeremiah 20:10-13,"Psalm 68:8-10, 14, 17, 33-35",Romans 5:12-15,Matthew 10:26-33,,,
13,A,13,Sunday,Ordinary,THIRTEENTH SUNDAY,"2 Kings 4:8-11, 14-16","Psalm 88:2-3, 16-19","Romans 6:3-4, 8-11",Matthew 10:37-42,,,
