lectionary cycle,,,,,,,before season of Lent,,after season of Easter,,,,
Year,Sunday,Weekday,Ash Wednesday,Easter Sunday,Ascension,Pentecost,Body and Blood of Christ,Number of Weeks,Ending,Beginning,Number Week,Advent Sunday 1,Year
2020,A,II,26 Feb,12 Apr,21 May,31 May,14 Jun,7,25 Feb,1 Jun,9,29 Nov,2020
2021,B,I,17 Feb,4 Apr,13 May,23 May,6 Jun,6,16 Feb,24 May,8,28 Nov,2021
2022,C,II,2 Mar,17 Apr,26 May,5 Jun,19 Jun,8,1 Mar,6 Jun,10,27 Nov,2022
2023,A,I,22 Feb,9 Apr,18 May,28 May,11 Jun,7,21 Feb,29 May,8,3 Dec,2023
2024,B,II,14 Feb,31 Mar,9 May,19 May,2 Jun,6,13 Feb,20 May,7,1 Dec,2024
,,,,,,,,,,,,,
2025,C,I,5 Mar,20 Apr,29 May,8 Jun,22 Jun,8,4 Mar,9 Jun,10,30 Nov,2025
2026,A,II,18 Feb,5 Apr,14 May,24 May,7 Jun,6,17 Feb,25 May,8,29 Nov,2026
2027,B,I,10 Feb,28 Mar,6 May,16 May,30 May,5,9 Feb,17 May,7,28 Nov,2027
2028,C,II,1 Mar,16 Apr,25 May,4 Jun,18 Jun,8,29 Feb,5 Jun,9,3 Dec,2028
2029,A,I,14 Feb,1 Apr,10 May,20 May,3 Jun,6,13 Feb,21 May,7,2 Dec,2029
,,,,,,,,,,,,,
2030,B,II,6 Mar,21 Apr,30 May,9 Jun,23 Jun,8,5 Mar,10 Jun,10,1 Dec,2030
2031,C,I,26 Feb,13 Apr,22 May,1 Jun,15 Jun,7,25 Feb,2 Jun,9,30 Nov,2031
2032,A,II,11 Feb,28 Mar,6 May,16 May,30 May,5,10 Feb,17 May,7,28 Nov,2032
2033,B,I,2 Mar,17 Apr,26 May,5 Jun,19 Jun,8,1 Mar,6 Jun,10,27 Nov,2033
2034,C,II,22 Feb,9 Apr,18 May,28 May,11 Jun,7,21 Feb,29 May,8,3 Dec,2034
,,,,,,,,,,,,,
2035,A,I,7 Feb,25 Mar,3 May,13 May,27 May,4,6 Feb,14 May,6,2 Dec,2035
2036,B,II,27 Feb,13 Apr,22 May,1 Jun,15 Jun,7,26 Feb,2 Jun,9,30 Nov,2036
2037,C,I,18 Feb,5 Apr,14 May,24 May,7 Jun,6,17 Feb,25 May,8,29 Nov,2037
2038,A,II,10 Mar,25 Apr,3 Jun,13 Jun,27 Jun,9,9 Mar,14 Jun,11,28 Nov,2038
2039,B,I,23 Feb,10 Apr,19 May,29 May,12 Jun,7,22 Feb,30 May,9,27 Nov,2039
,,,,,,,,,,,,,
2040,C,II,15 Feb,1 Apr,10 May,20 May,3 Jun,6,14 Feb,21 May,7,2 Dec,2040
2041,A,I,6 Mar,21 Apr,30 May,9 June,23 June,8,5 Mar,10 June,10,1 Dec,2041
2042,B,II,19 Feb,6 Apr,15 May,25 May,8 June,6,18 Feb,26 May,8,30 Nov,2042
2043,C,I,11 Feb,29 Mar,7 May,17 May,31 May,5,10 Feb,18 May,7,29 Nov,2043
2044,A,II,2 Mar,17 Apr,26 May,5 June,19 June,8,1 Mar,6 June,10,27 Nov,2044
,,,,,,,,,,,,,
2045,B,I,22 Feb,9 Apr,18 May,28 May,11 June,7,21 Feb,29 May,8,3 Dec,2045
2046,C,II,7 Feb,25 Mar,3 May,13 May,27 May,5,6 Feb,14 May,6,2 Dec,2046
2047,A,I,27 Feb,14 Apr,23 May,2 June,16 June,7,26 Feb,3 June,9,1 Dec,2047
2048,B,II,19 Feb,5 Apr,14 May,24 May,8 June,6,18 Feb,25 May,8,29 Nov,2048
2049,C,I,3 Mar,18 Apr,27 May,6 June,20 June,8,2 Mar,7 June,10,28 Nov,2049
,,,,,,,,,,,,,
2050,A,II,23 Feb,10 Apr,19 May,29 May,12 June,7,22 Feb,30 May,9,27 Nov,2050
2051,B,I,15 Feb,2 Apr,11 May,21 May,4 June,6,14 Feb,22 May,7,3 Dec,2051
2052,C,II,6 Mar,21 Apr,30 May,9 June,23 June,9,5 Mar,10 June,10,1 Dec,2052
2053,A,I,19 Feb,6 Apr,15 May,25 May,8 June,6,18 Feb,26 May,8,30 Nov,2053
2054,B,II,11 Feb,29 Mar,7 May,17 May,31 May,5,10 Feb,18 May,7,29 Nov,2054
,,,,,,,,,,,,,
2055,C,I,3 Mar,18 Apr,27 May,6 June,20 June,8,2 Mar,7 June,10,28 Nov,2055
2056,A,II,16 Feb,2 Apr,11 May,21 May,4 June,6,15 Feb,22 May,7,3 Dec,2056
2057,B,I,7 Mar,22 Apr,31 May,10 June,24 June,9,6 Mar,11 June,10,2 Dec,2057
2058,C,II,27 Feb,14 Apr,23 May,2 June,16 June,7,26 Feb,3 June,9,1 Dec,2058
2059,A,I,12 Feb,30 Mar,8 May,18 May,1 June,5,11 Feb,19 May,7,30 Nov,2059
,,,,,,,,,,,,,
2060,B,II,3 Mar,18 Apr,27 May,6 June,20 June,8,2 Mar,7 June,10,28 Nov,2060
